material,x_mm,extreme,estimator,mean_time_ns,n_events_used,n_events_excluded,median_n_boundary_encounters,median_path_length_mm,fraction_cherenkov,theta_q05_deg,theta_median_deg,theta_q95_deg,pulse_model,tau_rise_ns,tau_fall_ns,cfd_fraction,sem_time_ns
EJ-200,200,L,N1,5.269082339383051,10000,0,13.0,915.4455481420446,0.037,3.3090671569529198,10.665263850092012,19.124159751234707,,,,,
EJ-200,200,L,N2,5.375023872873018,10000,0,15.0,921.1438963518854,0.0182,3.561113814142547,12.40766806598776,21.371177067754804,,,,,
EJ-200,200,L,N5,5.560906671733523,10000,0,18.0,931.4754813239301,0.0072,4.284813131575238,15.035585176989056,24.945944216142358,,,,,
EJ-200,200,L,N20,6.031513120398047,10000,0,24.0,957.7269852811455,0.0227,5.324104925460066,20.079223985035867,33.23675838835009,,,,,
EJ-200,200,L,N100,7.3380891856186645,10000,0,39.0,1036.9611427407053,0.0173,8.106165225170479,29.96388760580777,45.82577464281552,,,,,
EJ-200,200,L,CFD_fastic_measured_14,6.91443033938305,10000,0,35.0,1014.4521349550339,0.0305,7.081023321770344,27.61114359017312,43.13130544963966,fastic_measured,2.0,3.0,0.14,0.0009368486422108947
EJ-200,200,L,CFD_fastic_measured_24,7.365330339383052,10000,0,40.0,1044.581975098833,0.0139,8.684236431196844,30.747631055839143,45.76073417489566,fastic_measured,2.0,3.0,0.24,0.0010255656719225644
EJ-200,200,L,CFD_penarodriguez_shortened_14,6.91443033938305,10000,0,35.0,1014.4521349550339,0.0305,7.081023321770344,27.61114359017312,43.13130544963966,penarodriguez_shortened,2.0,3.0,0.14,0.0009368486422108947
EJ-200,200,L,CFD_penarodriguez_shortened_24,7.365330339383052,10000,0,40.0,1044.581975098833,0.0139,8.684236431196844,30.747631055839143,45.76073417489566,penarodriguez_shortened,2.0,3.0,0.24,0.0010255656719225644
EJ-200,200,L,CFD_fast_contrast_14,6.3436543393830505,10000,0,31.0,988.5876542236508,0.1383,6.516636735074919,24.538249560256613,39.737343985359956,fast_contrast,0.5,2.0,0.14,0.0009476681664875433
EJ-200,200,L,CFD_fast_contrast_24,6.64067433938305,10000,0,32.0,1000.2892894703255,0.0566,6.79083070955243,26.00187093358919,41.496845641714884,fast_contrast,0.5,2.0,0.24,0.0010140158378148466
EJ-200,200,R,N1,3.077105580902872,10000,0,9.0,511.7826291994536,0.0536,3.620614709973197,12.404945969710765,22.02975313273216,,,,,
EJ-200,200,R,N2,3.1518207861714846,10000,0,10.0,515.8804776167026,0.0352,4.202831139126096,14.367854295710504,24.2492019705337,,,,,
EJ-200,200,R,N5,3.281810998477871,10000,0,11.0,522.806062135802,0.0193,4.768336073671072,17.055281089727906,28.130233244211155,,,,,
EJ-200,200,R,N20,3.5751340650691557,10000,0,19.0,553.4660613660361,0.2276,6.979457106231096,25.434344174556557,39.94722990647813,,,,,
EJ-200,200,R,N100,4.309970442049451,10000,0,22.0,580.5256503196148,0.03,8.392642601029705,30.628055013105286,47.57700170606787,,,,,
EJ-200,200,R,CFD_fastic_measured_14,4.653351580902873,10000,0,24.0,601.3855703540004,0.0165,9.006258676496898,33.88346503689574,50.65259167827677,fastic_measured,2.0,3.0,0.14,0.0006207476411005451
EJ-200,200,R,CFD_fastic_measured_24,5.082393580902872,10000,0,27.0,620.6464890337029,0.0096,10.443394291895713,36.60239266677239,53.351271731491316,fastic_measured,2.0,3.0,0.24,0.0006731934728442276
EJ-200,200,R,CFD_penarodriguez_shortened_14,4.653351580902873,10000,0,24.0,601.3855703540004,0.0165,9.006258676496898,33.88346503689574,50.65259167827677,penarodriguez_shortened,2.0,3.0,0.14,0.0006207476411005451
EJ-200,200,R,CFD_penarodriguez_shortened_24,5.082393580902872,10000,0,27.0,620.6464890337029,0.0096,10.443394291895713,36.60239266677239,53.351271731491316,penarodriguez_shortened,2.0,3.0,0.24,0.0006731934728442276
EJ-200,200,R,CFD_fast_contrast_14,4.094101580902873,10000,0,20.0,569.0195822091914,0.0444,8.156898299736474,28.589470942620967,45.92041770397945,fast_contrast,0.5,2.0,0.14,0.0006142958952939178
EJ-200,200,R,CFD_fast_contrast_24,4.386881580902871,10000,0,22.0,586.0410866079093,0.0268,8.95980824027254,31.557283031036327,48.392653412443096,fast_contrast,0.5,2.0,0.24,0.0006933150639709281
