material,x_mm,extreme,estimator,mean_time_ns,n_events_used,n_events_excluded,median_n_boundary_encounters,median_path_length_mm,fraction_cherenkov,theta_q05_deg,theta_median_deg,theta_q95_deg,pulse_model,tau_rise_ns,tau_fall_ns,cfd_fraction,sem_time_ns
EJ-200,-500,L,N1,1.417026755000561,10000,0,5.0,207.9670241731764,0.0965,3.1131459460884217,15.676819019244178,28.820424266834024,,,,,
EJ-200,-500,L,N2,1.4647574947611215,10000,0,5.0,211.28486064004483,0.1443,3.669840978721196,18.797839488746156,37.84939237256886,,,,,
EJ-200,-500,L,N5,1.531465019084711,10000,0,10.0,232.03220314560377,0.4695,6.490457140101467,30.42677640030804,39.333874258410596,,,,,
EJ-200,-500,L,N20,1.6526494989955733,10000,0,11.0,239.5057174455647,0.3814,7.385731290190906,33.317376532549574,44.471808607687265,,,,,
EJ-200,-500,L,N100,2.1329107867401405,10000,0,10.0,244.00528418761365,0.0456,8.852781189520341,34.87933294435314,54.56673285250306,,,,,
EJ-200,-500,L,CFD_fastic_measured_14,2.846286755000561,10000,0,13.0,265.080352244865,0.0087,11.723586260127814,41.04035001707124,60.60012520442916,fastic_measured,2.0,3.0,0.14,0.00040724798387159933
EJ-200,-500,L,CFD_fastic_measured_24,3.2480127550005613,10000,0,14.0,273.4791411392134,0.0093,11.99700982484218,43.07782220308616,64.30460229535778,fastic_measured,2.0,3.0,0.24,0.00043854622590411806
EJ-200,-500,L,CFD_penarodriguez_shortened_14,2.846286755000561,10000,0,13.0,265.080352244865,0.0087,11.723586260127814,41.04035001707124,60.60012520442916,penarodriguez_shortened,2.0,3.0,0.14,0.00040724798387159933
EJ-200,-500,L,CFD_penarodriguez_shortened_24,3.2480127550005613,10000,0,14.0,273.4791411392134,0.0093,11.99700982484218,43.07782220308616,64.30460229535778,penarodriguez_shortened,2.0,3.0,0.24,0.00043854622590411806
EJ-200,-500,L,CFD_fast_contrast_14,2.3227747550005615,10000,0,11.0,250.8927041857358,0.0352,9.417672681733205,36.9860526931233,57.0815961958103,fast_contrast,0.5,2.0,0.14,0.00041996912207528707
EJ-200,-500,L,CFD_fast_contrast_24,2.595428755000561,10000,0,12.0,259.5444125172668,0.0296,10.294885453660887,39.57773040723664,60.08482887696678,fast_contrast,0.5,2.0,0.24,0.00044631487759659854
EJ-200,-500,R,N1,6.912821864832705,10000,0,16.0,1217.391487654238,0.028,3.106347735684202,9.802930504439843,18.260139534620144,,,,,
EJ-200,-500,R,N2,7.041657218479844,10000,0,19.0,1225.1034532003582,0.0143,3.4779972778182584,11.702031945892738,20.391812828801545,,,,,
EJ-200,-500,R,N5,7.275708565937498,10000,0,22.5,1236.9452057654985,0.0051,3.866047341586482,14.132432906934934,23.964370791238654,,,,,
EJ-200,-500,R,N20,7.891125943976063,10000,0,31.0,1271.1016801613205,0.0066,4.825876835049434,19.332743663658402,31.78957299086379,,,,,
EJ-200,-500,R,N100,9.911569145405768,10000,0,57.0,1413.8790901742066,0.0104,8.65557039691683,32.31385188276855,47.72380411514128,,,,,
EJ-200,-500,R,CFD_fastic_measured_14,8.611989864832706,10000,0,43.0,1325.2574249136915,0.0655,6.5586019640063045,25.237170427462388,40.431175997924434,fastic_measured,2.0,3.0,0.14,0.001240599144479596
EJ-200,-500,R,CFD_fastic_measured_24,9.085713864832705,10000,0,47.0,1353.4356942771508,0.0238,6.951654798366598,27.78373429546653,42.71861644839589,fastic_measured,2.0,3.0,0.24,0.0013819868442483626
EJ-200,-500,R,CFD_penarodriguez_shortened_14,8.611989864832706,10000,0,43.0,1325.2574249136915,0.0655,6.5586019640063045,25.237170427462388,40.431175997924434,penarodriguez_shortened,2.0,3.0,0.14,0.001240599144479596
EJ-200,-500,R,CFD_penarodriguez_shortened_24,9.085713864832705,10000,0,47.0,1353.4356942771508,0.0238,6.951654798366598,27.78373429546653,42.71861644839589,penarodriguez_shortened,2.0,3.0,0.24,0.0013819868442483626
EJ-200,-500,R,CFD_fast_contrast_14,7.9889738648327056,10000,0,32.0,1276.9026691606336,0.0067,5.330618468217219,20.09594950473259,32.624983125224524,fast_contrast,0.5,2.0,0.14,0.001309881261226449
EJ-200,-500,R,CFD_fast_contrast_24,8.317451864832705,10000,0,40.0,1308.865551001507,0.0925,6.094935952580141,23.667057052089852,39.066081830224086,fast_contrast,0.5,2.0,0.24,0.0013836129369234743
