material,x_mm,extreme,estimator,mean_time_ns,n_events_used,n_events_excluded,median_n_boundary_encounters,median_path_length_mm,fraction_cherenkov,theta_q05_deg,theta_median_deg,theta_q95_deg,pulse_model,tau_rise_ns,tau_fall_ns,cfd_fraction,sem_time_ns
EJ-204,500,L,N1,6.899387378133503,10000,0,16.0,1217.1212999232966,0.0306,2.978855050495562,9.724890280279553,18.101017395397545,,,,,
EJ-204,500,L,N2,7.033651797836879,10000,0,18.0,1224.4984238133152,0.0142,3.2693593501072726,11.552430198502684,20.401270107519892,,,,,
EJ-204,500,L,N5,7.2760526136496715,10000,0,22.0,1238.0293214023923,0.0052,3.720903711122788,14.313827180085159,24.332706539713172,,,,,
EJ-204,500,L,N20,7.953020501168899,10000,0,33.0,1281.122772904329,0.0253,5.218804055451373,20.61062568312055,33.85690853313002,,,,,
EJ-204,500,L,N100,10.805111546462088,9997,3,71.0,1506.766005517242,0.02230669200760228,10.350547027588734,38.04702915935469,54.51958830956886,,,,,
EJ-204,500,L,CFD_fastic_measured_14,8.434527378133502,10000,0,44.0,1330.8641036256413,0.1184,6.700371734748963,25.770038353729817,39.643554151944656,fastic_measured,2.0,3.0,0.14,0.0013500494059814274
EJ-204,500,L,CFD_fastic_measured_24,8.863741378133502,10000,0,46.0,1348.5122743311003,0.0396,7.25402599977965,27.523086515173517,41.97866528764931,fastic_measured,2.0,3.0,0.24,0.0014672621450379673
EJ-204,500,L,CFD_penarodriguez_shortened_14,8.434527378133502,10000,0,44.0,1330.8641036256413,0.1184,6.700371734748963,25.770038353729817,39.643554151944656,penarodriguez_shortened,2.0,3.0,0.14,0.0013500494059814274
EJ-204,500,L,CFD_penarodriguez_shortened_24,8.863741378133502,10000,0,46.0,1348.5122743311003,0.0396,7.25402599977965,27.523086515173517,41.97866528764931,penarodriguez_shortened,2.0,3.0,0.24,0.0014672621450379673
EJ-204,500,L,CFD_fast_contrast_14,7.866743378133503,10000,0,31.0,1273.637686963447,0.0042,5.117860780574865,19.685720659723547,31.43394400614906,fast_contrast,0.5,2.0,0.14,0.0014238282681886725
EJ-204,500,L,CFD_fast_contrast_24,8.164739378133502,10000,0,38.0,1300.6656738364234,0.0695,5.740014045936619,22.832476601742037,38.252912829660076,fast_contrast,0.5,2.0,0.24,0.0015199860406179488
EJ-204,500,R,N1,1.3931089368499947,10000,0,4.0,206.57760547375165,0.0909,2.6247195769906497,14.203994110976659,26.182677926398036,,,,,
EJ-204,500,R,N2,1.435809880235704,10000,0,5.0,209.30344504811868,0.0914,2.9427546741555513,17.103168564641713,29.74608449213201,,,,,
EJ-204,500,R,N5,1.503998352434431,10000,0,7.0,217.65875848148357,0.2809,4.433730676946757,22.99403057878361,38.67577457387333,,,,,
EJ-204,500,R,N20,1.5975924386099973,10000,0,16.0,256.6772689229586,0.5404,8.830540669260689,38.54518987517342,42.53943032186204,,,,,
EJ-204,500,R,N100,2.0032105138670766,10000,0,10.0,240.7997300480646,0.0685,8.176659970038028,33.82978361965924,53.15555498817033,,,,,
EJ-204,500,R,CFD_fastic_measured_14,2.6998209368499944,10000,0,13.0,264.88730495016443,0.0199,11.072663565406252,40.951157320396206,60.581928506464244,fastic_measured,2.0,3.0,0.14,0.00036748945039245335
EJ-204,500,R,CFD_fastic_measured_24,3.0726069368499944,10000,0,15.0,274.0891093373698,0.0179,12.075271622119288,43.36308289538182,63.98881306246153,fastic_measured,2.0,3.0,0.24,0.0003999410751316614
EJ-204,500,R,CFD_penarodriguez_shortened_14,2.6998209368499944,10000,0,13.0,264.88730495016443,0.0199,11.072663565406252,40.951157320396206,60.581928506464244,penarodriguez_shortened,2.0,3.0,0.14,0.00036748945039245335
EJ-204,500,R,CFD_penarodriguez_shortened_24,3.0726069368499944,10000,0,15.0,274.0891093373698,0.0179,12.075271622119288,43.36308289538182,63.98881306246153,penarodriguez_shortened,2.0,3.0,0.24,0.0003999410751316614
EJ-204,500,R,CFD_fast_contrast_14,2.2174409368499948,10000,0,11.0,249.60322817877204,0.0467,8.690716155633117,36.61442170637723,56.94288836988333,fast_contrast,0.5,2.0,0.14,0.00037419544005848793
EJ-204,500,R,CFD_fast_contrast_24,2.4681189368499945,10000,0,12.0,256.46726861389266,0.0218,9.882696171668714,38.709054480433146,58.24208137933007,fast_contrast,0.5,2.0,0.24,0.0004017759585785631
