material,x_mm,extreme,estimator,mean_time_ns,n_events_used,n_events_excluded,median_n_boundary_encounters,median_path_length_mm,fraction_cherenkov,theta_q05_deg,theta_median_deg,theta_q95_deg,pulse_model,tau_rise_ns,tau_fall_ns,cfd_fraction,sem_time_ns,mean_path_over_daxial
EJ-200,-650,L,N1,0.5288234447945496,10000,0,4.0,63.59178704471786,0.8202,2.8080714888761533,38.52604857216306,40.12780322134059,,,,,,
EJ-200,-650,L,N2,0.5351082388960133,10000,0,4.0,63.75587834553957,0.9527,10.213454243064941,38.58286063783788,40.11129568660894,,,,,,
EJ-200,-650,L,N5,0.5423670504613864,10000,0,4.0,64.10010037767414,0.9708,22.886529967304476,38.45518591285159,40.03734147687424,,,,,,
EJ-200,-650,L,N20,0.5988547329259276,10000,0,5.0,71.35191762961767,0.7541,7.032289867247732,38.92429886209415,49.67210657654902,,,,,,
EJ-200,-650,L,N100,0.9523218383707357,10000,0,3.0,68.52801568846195,0.073,0.0,39.69160319531284,65.99968616718282,,,,,,
EJ-200,-650,L,CFD_fastic_measured_14,1.8577474447945497,10000,0,5.0,77.07150196294342,0.007,13.347448219436938,49.67999728480743,75.91193170571579,fastic_measured,2.0,3.0,0.14,0.0003035588193451894,1.909393344218771
EJ-200,-650,L,CFD_fastic_measured_24,2.24071744479455,10000,0,5.0,79.72845554814947,0.0054,14.439162155936598,51.41150384092377,77.88327134299921,fastic_measured,2.0,3.0,0.24,0.00032474055227232527,2.0764408449011986
EJ-200,-650,L,CFD_penarodriguez_shortened_14,1.8577474447945497,10000,0,5.0,77.07150196294342,0.007,13.347448219436938,49.67999728480743,75.91193170571579,penarodriguez_shortened,2.0,3.0,0.14,0.0003035588193451894,1.909393344218771
EJ-200,-650,L,CFD_penarodriguez_shortened_24,2.24071744479455,10000,0,5.0,79.72845554814947,0.0054,14.439162155936598,51.41150384092377,77.88327134299921,penarodriguez_shortened,2.0,3.0,0.24,0.00032474055227232527,2.0764408449011986
EJ-200,-650,L,CFD_fast_contrast_14,1.3615394447945497,10000,0,4.0,73.23491591687929,0.0206,12.625939883333707,47.01377904298561,71.97834670423873,fast_contrast,0.5,2.0,0.14,0.0003079780945235047,1.6957227366293166
EJ-200,-650,L,CFD_fast_contrast_24,1.61552544479455,10000,0,4.0,74.73140387637574,0.0086,13.72277691777445,48.09234939559647,73.77591053098946,fast_contrast,0.5,2.0,0.24,0.00032548441997759606,1.7861590420017452
EJ-200,-650,R,N1,7.731930944189221,10000,0,18.0,1368.464566875883,0.0271,2.9735845479543106,9.531581832384756,17.831806045794174,,,,,,
EJ-200,-650,R,N2,7.876145445298554,10000,0,21.0,1376.6630158576581,0.0117,3.250494575422183,11.378193697958432,20.072849971339792,,,,,,
EJ-200,-650,R,N5,8.130284406212368,10000,0,26.0,1391.0409676116642,0.0039,3.5726027883677554,14.040687139725568,23.889535002007886,,,,,,
EJ-200,-650,R,N20,8.824358202610634,10000,0,35.0,1428.9602117309691,0.0045,4.657959444580512,19.237031483691183,31.568941356448338,,,,,,
EJ-200,-650,R,N100,11.192677596159143,10000,0,70.0,1629.0648581706932,0.0155,9.038891749606549,34.4832484227736,48.98361014964754,,,,,,
EJ-200,-650,R,CFD_fastic_measured_14,9.493654944189222,10000,0,48.0,1491.9709336302653,0.089,6.151573470238822,25.287976275885878,39.858597885018106,fastic_measured,2.0,3.0,0.14,0.0014133196985599856,1.2026211640107634
EJ-200,-650,R,CFD_fastic_measured_24,9.993550944189224,10000,0,55.0,1526.7139104762498,0.0612,7.187306497685698,28.028796366121174,43.16086751746335,fastic_measured,2.0,3.0,0.24,0.00154915985321776,1.1730011416497264
EJ-200,-650,R,CFD_penarodriguez_shortened_14,9.493654944189222,10000,0,48.0,1491.9709336302653,0.089,6.151573470238822,25.287976275885878,39.858597885018106,penarodriguez_shortened,2.0,3.0,0.14,0.0014133196985599856,1.2026211640107634
EJ-200,-650,R,CFD_penarodriguez_shortened_24,9.993550944189224,10000,0,55.0,1526.7139104762498,0.0612,7.187306497685698,28.028796366121174,43.16086751746335,penarodriguez_shortened,2.0,3.0,0.24,0.00154915985321776,1.1730011416497264
EJ-200,-650,R,CFD_fast_contrast_14,8.83921094418922,10000,0,35.0,1432.187429717354,0.0021,4.590568880764838,19.558103500577225,31.5311657754238,fast_contrast,0.5,2.0,0.14,0.0014762092762006654,1.0767866349781825
EJ-200,-650,R,CFD_fast_contrast_24,9.190298944189221,10000,0,42.0,1462.7687500335596,0.0451,5.569669293649828,22.741703805811923,37.49107307912507,fast_contrast,0.5,2.0,0.24,0.0016113985293806506,1.1064557392179983
