material,x_mm,extreme,estimator,mean_time_ns,n_events_used,n_events_excluded,median_n_boundary_encounters,median_path_length_mm,fraction_cherenkov,theta_q05_deg,theta_median_deg,theta_q95_deg,pulse_model,tau_rise_ns,tau_fall_ns,cfd_fraction,sem_time_ns,mean_path_over_daxial
EJ-230,-650,L,N1,0.5131122521131474,10000,0,2.0,55.35439389759199,0.5177,0.0,19.46621282410004,39.51626648727711,,,,,,
EJ-230,-650,L,N2,0.5234023001649644,10000,0,4.0,64.3091427929522,0.8059,0.0,39.45202546168268,39.91313183274838,,,,,,
EJ-230,-650,L,N5,0.532137629565322,10000,0,4.0,64.56748141025828,0.9346,10.623612128500708,39.44741991591808,39.61176094734308,,,,,,
EJ-230,-650,L,N20,0.5655459643176136,10000,0,4.0,68.09092558769365,0.7843,5.913283606039173,39.31834333380775,40.222138051257375,,,,,,
EJ-230,-650,L,N100,0.8022596955348059,10000,0,3.0,66.11752663368577,0.1134,0.0,36.630047862869965,63.348280685648355,,,,,,
EJ-230,-650,L,CFD_fastic_measured_14,1.5888382521131474,10000,0,5.0,76.73348836417314,0.0096,13.843260490212241,49.50211566410373,74.76653738036916,fastic_measured,2.0,3.0,0.14,0.00024480143157693256,1.862950426654445
EJ-230,-650,L,CFD_fastic_measured_24,1.910052252113147,10000,0,5.0,78.81781500057721,0.0078,14.203840669848368,50.89744437979862,76.93984707456936,fastic_measured,2.0,3.0,0.24,0.00026014796383642854,2.011260441145327
EJ-230,-650,L,CFD_penarodriguez_shortened_14,1.5888382521131474,10000,0,5.0,76.73348836417314,0.0096,13.843260490212241,49.50211566410373,74.76653738036916,penarodriguez_shortened,2.0,3.0,0.14,0.00024480143157693256,1.862950426654445
EJ-230,-650,L,CFD_penarodriguez_shortened_24,1.910052252113147,10000,0,5.0,78.81781500057721,0.0078,14.203840669848368,50.89744437979862,76.93984707456936,penarodriguez_shortened,2.0,3.0,0.24,0.00026014796383642854,2.011260441145327
EJ-230,-650,L,CFD_fast_contrast_14,1.1832402521131473,10000,0,4.0,72.57329671323797,0.0347,12.322339687443131,46.53374262611545,71.37175879491474,fast_contrast,0.5,2.0,0.14,0.0002478725956437328,1.6553952993787624
EJ-230,-650,L,CFD_fast_contrast_24,1.3898522521131476,10000,0,4.0,74.74316241381814,0.0189,12.937172164941332,48.222053258744936,73.10080060878936,fast_contrast,0.5,2.0,0.24,0.00025649789226101893,1.7702604281288727
EJ-230,-650,R,N1,7.685872788687478,10000,0,16.0,1366.528785331456,0.0175,2.054400710178487,9.025900294722781,17.722030620487008,,,,,,
EJ-230,-650,R,N2,7.841621513962492,10000,0,20.0,1375.5448775251639,0.0092,2.6244154211084267,11.163838852469283,20.266312054863523,,,,,,
EJ-230,-650,R,N5,8.13889108452044,10000,0,26.0,1393.0728451895015,0.0024,3.570897212932447,14.368128684330536,24.579409376815267,,,,,,
EJ-230,-650,R,N20,9.072838664113752,10000,0,42.0,1461.786902162617,0.0324,6.068578369781137,22.74219286383825,37.0474719699645,,,,,,
EJ-230,-650,R,N100,13.836123448004924,2458,7542,107.0,1887.6229553772716,0.013832384052074858,15.219334106860195,45.53820315601692,60.00000000000147,,,,,,
EJ-230,-650,R,CFD_fastic_measured_14,9.101342788687479,10000,0,43.0,1467.1008059162102,0.0158,5.882960276148555,23.1509364641527,35.19725726098623,fastic_measured,2.0,3.0,0.14,0.0017696999760741787,1.132347521910429
EJ-230,-650,R,CFD_fastic_measured_24,9.526684788687481,10000,0,55.0,1517.5743732372298,0.1022,6.880171359846218,27.42732876310045,40.2780720196863,fastic_measured,2.0,3.0,0.24,0.001894063897678743,1.1739042873792838
EJ-230,-650,R,CFD_penarodriguez_shortened_14,9.101342788687479,10000,0,43.0,1467.1008059162102,0.0158,5.882960276148555,23.1509364641527,35.19725726098623,penarodriguez_shortened,2.0,3.0,0.14,0.0017696999760741787,1.132347521910429
EJ-230,-650,R,CFD_penarodriguez_shortened_24,9.526684788687481,10000,0,55.0,1517.5743732372298,0.1022,6.880171359846218,27.42732876310045,40.2780720196863,penarodriguez_shortened,2.0,3.0,0.24,0.001894063897678743,1.1739042873792838
EJ-230,-650,R,CFD_fast_contrast_14,8.558880788687478,10000,0,33.0,1425.4493723986025,0.0016,4.6345805849694655,18.81498666891153,29.35724341070768,fast_contrast,0.5,2.0,0.14,0.0017351505567721433,1.073314170811548
EJ-230,-650,R,CFD_fast_contrast_24,8.840426788687479,10000,0,38.0,1443.215658850398,0.0025,5.049748748823918,20.83937000116416,32.31228793670044,fast_contrast,0.5,2.0,0.24,0.001925315869166822,1.096536213816444
